"Param","Unit"
"Sulphur Dissolved","g/m^3"
"Sulphur Trioxide Emission","kg/d"
"Sum of Anions + Cations","mEq/l"
"Sunshine Hours","hr"
"Surfactants (MBAS Detergent)","g/m^3"
"Air Temp","degC"
"Tannin","g/m^3"
"TaxaRichness","#"
"TDS","mg/l"
"Temperature","degC"
"Terbuthylazine","mg/m^3"
"Thallium","g/m^3"
"Thiocyanate","g/m^3"
"Tin","g/m^3"
"Tin Total","g/m^3"
"Tin Total Recoverable","g/m^3"
"TKN measured","mg/l"
"Toluene","mg/l"
"Tonnage","tonne"
"Tonnage Annual","tonne"
"Total Algae","cells/ml"
"Total Ammoniacal Nitrogen","g/m^3"
"Total Anions","mEq/l"
"Total Antimony","g/m^3"
"Total Available Chlorine","g/m^3"
"Total Carbon","g/m^3"
"Total carbon dioxide","g/m^3"
"Total Cations","mEq/l"
"Total Chlordane","g/m^3"
"Total Chlorophyta (GA)","cells/ml"
"Total Coliforms","MPN/100ml"
"Total Coliforms MPN","MPN/100ml"
"Total Cyanophyta (BGA)","cells/ml"
"Total Depth","m"
"Total Dissolved Carbon","g/m^3"
"Total Dissolved Nitrogen (CTL)","g/m^3"
"Total Dissolved Phosphorus","g/m^3"
"Total Dissolved Phosphorus (Trace)","g/m^3"
"Total Dustfall","g/m^2/30d"
"Total Halogens","g/m^3"
"Total Hardness","g/m^3"
"Total Inorganic Nitrogen","g/m^3"
"Total Kjeldahl Nitrogen","g/m^3"
"Total Nitrogen","g/m^3"
"Total Nitrogen Calculated","g/m^3"
"Total Organic Carbon","g/m^3"
"Total Organic Nitrogen","g/m^3"
"Total Oxidised Nitrogen","g/m^3"
"Total Particulate Emmission Rate","kg/hr"
"Total Persulphate Nitrogen","g/m^3"
"Total Petrol Hydrocarbons","g/m^3"
"Total Petrol Hydrocarbons C10-C14","g/m^3"
"Total Petrol Hydrocarbons C7-C9","g/m^3"
"Total Phosphorus","g/m^3"
"Total Phosphorus (Trace)","g/m^3"
"Total Reactive Phosphorus","g/m^3"
"Total Residual Chlorine","g/m^3"
"Total Solids","g/m^3"
"Total Suspended Particulates","g/m^3"
"Total Xylenes","mg/l"
"trans-Chlordane","g/m^3"
"trans-Permethrin","mg/m^3"
"Triclopyr","mg/m^3"
"Trifluralin","mg/m^3"
"Soil Temp","degC"
"TSP 24 hour total","g/m^3"
"Total Suspended Solids","g/m^3"
"Water Temp","degC"
"Wind Dir","deg"
"Wind Gust Vel","m/s"
"Unchlorinated Phenols","mg/m^3"
"Undissociated Sulphide","g/m^3"
"Unionized ammoniacal nitrogen","g/m^3"
"Peak Wind Dir","deg"
"UreaN_gm3","g/m^3"
"Wind Vel","m/s"
"Value","None"
"Valve Opening","%"
"Vanadium Total","mg/m^3"
"Voltage","V"
"Vibration","mm/s"
"Vietnamese Rock Type","%"
"Visual Clarity","%"
"Volatile Fatty Acids","g/m^3"
"Volatile Solids","mg/l"
"Volatile Suspended Solids","g/m^3"
"Waste Oil Volume","m^3"
"Water Level BLSD","m"
"Water Depth","m"
"Water Temperature 1st Volume","degC"
"Water Temperature 2nd Volume","degC"
"Water Level","m"
"Cond","uS/cm"
"RiverXDepth","m"
"Weng Fu Rock Type","%"
"Wetted Perimeter","m"
"Whey Flow","l/d"
"Tot Susp Sed","mg/l"
"Flow","l/s"
"O2 (Dis)","mg/l"
"Salinity","ppt"
"Water Surface Slope","m/km"
"Attenuation turbidity","_ATU"
"Backscatter turbidity","_BU"
"Turbidity, FormAttenu","_FAU"
"Turbidity, 90&0_45 d","_FBRU"
"Turbidity, FormBksctr","_FBU"
"Turbidity, FormMulti","_FNMU"
"Turbidity, FormRatio","_FNRU"
"Turbidity (Form Neph)","_FNU"
"Turbidity (ISO)","_FNU"
"Turbidity (Jackson)","_JTU"
"Turbidity (NephMulti)","_NTMU"
"Turbidity (NephRatio)","_NTRU"
"Turbidity","_NTU"
"Water Velocity","m/s"
"Dis Oxygen Sat","%"
"Chlorophyll","ug/l"
